Title,Link,Positive %,Neutral %,Negative %,,Positive %,Neutral %,Negative %,Results
Greta Thunberg,https://en.wikipedia.org/wiki/Greta_Thunberg,9.00%,81.40%,9.70%,N,9.70%,80.00%,10.30%,P
Channing Tatum,https://en.wikipedia.org/wiki/Channing_Tatum,5.40%,87.80%,6.80%,P,7.70%,86.60%,5.80%,P
Sia,https://en.wikipedia.org/wiki/Sia,9.60%,85.80%,4.60%,P,11.00%,83.10%,5.80%,P
Kristen Stewart,https://en.wikipedia.org/wiki/Kristen_Stewart,15.60%,80.30%,4.10%,P,17.30%,78.00%,4.70%,P
Michael B. Jordan,https://en.wikipedia.org/wiki/Michael_B._Jordan,7.00%,87.20%,5.80%,P,7.80%,86.00%,6.30%,P
Jason Derulo,https://en.wikipedia.org/wiki/Jason_Derulo,6.40%,91.80%,1.80%,P,7.00%,91.00%,2.00%,P
Meghan Trainor,https://en.wikipedia.org/wiki/Meghan_Trainor,9.70%,87.60%,2.70%,P,11.00%,85.60%,3.40%,P
Pharrell Williams,https://en.wikipedia.org/wiki/Pharrell_Williams,9.00%,88.00%,3.10%,P,9.90%,86.70%,3.40%,P
Tyga,https://en.wikipedia.org/wiki/Tyga,7.00%,88.10%,5.00%,P,8.20%,86.60%,5.20%,P
Future (rapper),https://en.wikipedia.org/wiki/Future_(rapper),9.80%,87.20%,3.00%,P,10.80%,86.00%,3.20%,P
Metro Boomin,https://en.wikipedia.org/wiki/Metro_Boomin,5.70%,88.70%,5.60%,N,6.30%,87.40%,6.20%,P
Kendrick Lamar,https://en.wikipedia.org/wiki/Kendrick_Lamar,15.40%,79.80%,4.70%,P,17.10%,77.80%,5.10%,P
Alex Jones,https://en.wikipedia.org/wiki/Alex_Jones,6.50%,81.10%,12.40%,N,7.00%,79.30%,13.70%,N
Julian Assange,https://en.wikipedia.org/wiki/Julian_Assange,9.20%,80.40%,10.40%,N,9.70%,79.00%,11.40%,N
Harvey Weinstein,https://en.wikipedia.org/wiki/Harvey_Weinstein,10.90%,76.80%,12.30%,N,11.80%,75.00%,13.30%,N
